Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Arthropoda	Malacostraca	Homarus	americanus		American Lobster	Y	Y			Y	Y			M
Arthropoda	Insecta	Nesidiocoloris	tenuis				Y							T
Chordata	Mammalia	Hydrochaeris	hydrochaeris		Capybara	Ex		Y	Y	Ex		Y	Y	T
Angiospermae	Eudicotyledoneae	Hydrocotyle	ranunculoides		Floating Pennywort	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Arachnida	Latrodectus	geometricus		Brown widow			Y				Y		T
Arthropoda	Arachnida	Latrodectus	hasselti		Redback spider			Y				Y		T
Arthropoda	Insecta	Linepithema 	humile 		Argentine ant	Y	Y	Y	Y	?	?	Y	?	T
Arthropoda	Insecta	Liriomyza	huidobrensis		 Pea leaf miner	N	Y	Y	Y	N	?	?	?	T
Arthropoda	Malacostraca	Pachygrapsus	marmoratus		Marbled crab	Y	Y			Y	N			M
Angiospermae	Eudicotyledoneae	Lonicera	japonica		Japanese Honeysuckle	Y	Y	Y		Y	?	Y		T
Angiospermae	Eudicotyledoneae	Ludwigia	grandiflora		Creeping Water-primrose	Y	Y	Y	Y	Y	Y	Y	Y	F
Annelida	Polychaeta	Marenzelleria	neglecta		Red-gilled Mud Worm	N		Y	Y	N		Y	Y	M
Arthropoda	Malacostraca	Marsupenaeus	japonicus		Caribbean mud crab, Kuruma prawn	Y	Y			Y	Y			M
Chordata	Ascidiacea	Microcosmus	squamiger				Y							M
Ctenophora	Tentaculata	Mnemiopsis	leidyi		Sea walnut, American comb jelly	N	Y	Y	Y	N	Y	Y	Y	M
Chordata	Mammalia	Muntiacus	reevesi		Reeves's Muntjac	Y	Ex	Y	Y	Y	N	Y	Y	T
Mollusca	Bivalvia	Musculista	senhousia		Asian date mussel 		Y				N			M
Chordata	Mammalia	Mustela	furo		Feral Ferret	Y			Y	Y			Y	T
Chordata	Mammalia	Mustela	vison		American Mink	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Arthropoda	Malacostraca	Rhithropanopeus	harrisii		Dwarf crab	Y	Y	Y	Y	N	Y	Y	Y	M
Chordata	Aves	Myiopsitta	monachus		 Monk Parakeet	Y	Y	Y	Y	Y		Y	Y	T
Angiospermae	Eudicotyledoneae	Myriophyllum	aquaticum		Parrot's Feather	Y	Y	Y	Y	Y	Y	Y	Y	F
Chordata	Actinopterygii	Salvelinus	malma		Dolly Varden Charr	Y, Er		N		N		N		F
Chordata	Actinopterygii	Salvelinus	namaycush		American Lake Charr	Y	Y	N		N	Y	N		F
Angiospermae	Eudicotyledoneae	Myriophyllum	heterophyllum		Twoleaf Watermilfoil	Y	Y	Y	Y	N	?	Y	Y	F
Chordata	Actinopterygii	Neogobius	melanostomus		Round Goby	N		Y	Y	N		Y	Y	M+F
Chordata	Mammalia	Nyctereutes	procyonoides		Raccoon Dog	Y, Ex	Y	Y	Y	Y, Ex	N	Y	Y	T
Chlorophyta	Ulvophyceae	Ulva	pertusa		sea lettuce		Y		Y		N		Y	M
Chordata	Actinopterygii	Umbra	krameri		European Mudminnow	Y		N		N		N		F
Heterokontophyta	Bacillariophyceae	Odontella	sinensis		Chinese diatom	Y	Y	Y	Y	Y	Y	Y	Y	M
Ascomycota	Sordariomycetes	Ophiostoma	novo-ulmi		Dutch elm disease	Y	Y	Y	Y	Y			Y	T
Angiospermae	Eudicotyledoneae	Opuntia	ficus-indica		Prickly-pear cacti	N	Y	N	N		?			T
Arthropoda	Malacostraca	Orconectes	juvenilis		Kentucky River Crayfish 		Y				N			F
Angiospermae	Eudicotyledoneae	Oxalis	pes-caprae		Bermuda-buttercup	Y	Y		N	Y	N		N	T
Angiospermae	Monocotyledoneae	Paspalum	distichum		Water Finger-grass	Y	Y	Y		Y	N	Y		F+T
Arthropoda	Insecta	Abax	parallelus			Y	Y	Y	Y	Y	N	N	Y	T
Arthropoda	Insecta	Abgrallapspis	cyanophylli				Y				?			T
Pinophyta	Pinopsida	Abies	alba   			Y	nat	nat	nat	Y				T
Pinophyta	Pinopsida	Abies	grandis   			Y	Y	Y	Y	Y	Y	Y	Y	T
Pinophyta	Pinopsida	Abies	nordmanniana   			Y	Y	Y	Y	Y	N	N	Y	T
Pinophyta	Pinopsida	Abies	pinsapo   			Y	Y		Y	Y	N		N	T
Pinophyta	Pinopsida	Abies	procera   			Y	Y			Y	N			T
Arthropoda	Insecta	Ablerus	clisiocampae  				Y							T
Arthropoda	Insecta	Ablerus	perspeciosus  				Y							T
Angiospermae	Eudicotyledoneae	Abutilon	theophrasti		Velvetleaf	Y	Y	Y	Y			Y	Y	T
Angiospermae	Eudicotyledoneae	Acacia	melanoxylon		Australian Blackwood	Y	Y	Y						T
Angiospermae	Eudicotyledoneae	Acaena	anserinifolia		Bronze Pirri-Pirri-Bur	Y								T
Angiospermae	Eudicotyledoneae	Acaena	inermis		Spineless Acaena	Y								T
Angiospermae	Eudicotyledoneae	Acaena	novae-zelandiae		Pirri-Pirri-Bur	Y								T
Angiospermae	Eudicotyledoneae	Acaena	ovalifolia		Two-spined Acaena	Y								T
Arthropoda	Insecta	Acalyptris	platani  				Y							T
Arthropoda	Insecta	Acanthocinus	aedilis		 Timberman beetle	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Acanthocnemus	nigricans  				Y				?			T
Arthropoda	Insecta	Acantholyda	erythrocephala  			Y								T
Arthropoda	Insecta	Acantholyda	laricis					Y	Y					T
Arthropoda	Insecta	Acanthoscelides	obtectus		 American Seed Beetle	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Acanthoxyla	geisovii  			Y								T
Arthropoda	Insecta	Acanthoxyla	inermis  			Y								T
Angiospermae	Eudicotyledoneae	Acanthus	mollis		Bear's-Breech	Y	Y	Y						T
Angiospermae	Eudicotyledoneae	Acanthus	spinosus		Spiny Bear's-Breech	Y	Y							T
Arthropoda	Maxillopoda	Acartia	erinea						Y					F
Arthropoda	Maxillopoda	Acartia	margalefi			Y				Y				M
Arthropoda	Maxillopoda	Acartia	tonsa			Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Maxillopoda	Acartua	omorii				Y				Y			M
Angiospermae	Eudicotyledoneae	Acer	cappadocicum		Cappadocian Maple	Y	Y	Y						T
Angiospermae	Eudicotyledoneae	Acer	negundo		Ashleaf Maple	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Acer	platanoides		Norway Maple	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Acer	pseudoplatanus		Sycamore	Y	Y	Y	Y			Y	Y	T
Angiospermae	Eudicotyledoneae	Acer	rufinerve					Y				Y		T
Angiospermae	Eudicotyledoneae	Acer	saccharinum		Silver Maple	Y	Y	Y	Y					T
Arthropoda	Insecta	Aceratoneuromyia	indica  			Y								T
Arthropoda	Arachnida	Aceria	erinea   			Y		Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Aceria	tristriata   			Y								T
Arthropoda	Insecta	Acericerus	heydenii			Y		Y	Y	Y		N	Y	T
Arthropoda	Insecta	Acericerus	ribauti			Y		Y	Y	Y		N	Y	T
Arthropoda	Arachnida	Achaearanea	acoreensis					Y				Y		T
Arthropoda	Arachnida	Achaearanea	tepidariorum		 Common House Spider	Y	Y	Y	Y	Y			Y	T
Arthropoda	Arachnida	Achaearanea	veruculata		 Diamond Comb-footed Spider	Y		Y		N		Y		T
Arthropoda	Insecta	Acheta	domesticus						Y					T
Angiospermae	Eudicotyledoneae	Achillea	distans		Tall Yarrow	Y								T
Angiospermae	Eudicotyledoneae	Achillea	filipendulina						Y					T
Angiospermae	Eudicotyledoneae	Achillea	ligustica		Southern Yarrow	Y								T
Chordata	Actinopterygii	Acipenser	baerii		Siberian Sturgeon	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Chordata	Actinopterygii	Acipenser	ruthenus		Sterlet	Y	Y	Y	Y	Y	Y	Y	N	M+F
Arthropoda	Insecta	Acizzia	acaciaebaileyanae				Y				?			T
Arthropoda	Insecta	Acizzia	jamatonica 				Y				?			T
Arthropoda	Insecta	Acizzia	uncatoides				Y				?			T
Arthropoda	Insecta	Acleris	undulana  				Y							T
Angiospermae	Eudicotyledoneae	Aconitum	lycoctonumvulparia		Wolf's-bane	Y								T
Angiospermae	Eudicotyledoneae	Aconitum	napellusXvariegatum		Hybrid Monk's-hood	Y		Y	Y			Y		T
Arthropoda	Insecta	Acontia	candefacta  			Y								T
Arthropoda	Insecta	Acontia	crocata  				Y							T
Angiospermae	Monocotyledoneae	Acorus	calamus		Sweet-flag	Y		Y	Y	?		?	?	F
Angiospermae	Monocotyledoneae	Acorus	gramineus		Slender Sweet-flag	Y				?				F
Chordata	Aves	Acridotheres	cristatellus		 Crested Myna	Y		Y	Y			Y	Y	T
Rhodophyta	not assigned	Acrochaetium	catenulatum						Y					M
Rhodophyta	not assigned	Acrochaetium	densum						Y					M+F
Arthropoda	Insecta	Acrocrypta	purpurea						Y					T
Arthropoda	Insecta	Acronicta	aceris		 Sycamore moth	Y	Y	Y	Y	Y		Y	Y	T
Angiospermae	Eudicotyledoneae	Acrophyllum	dentatum   			Y								T
Angiospermae	Eudicotyledoneae	Acroptilon	repens		Russian Knapweed	Y	Y	Y				Y		T
Arthropoda	Insecta	Acrotelsa	collaris						Y					T
Rhodophyta	not assigned	Acrothamnion	preisii				Y							M
Arthropoda	Insecta	Acrotrichis	cognata			Y			Y					T
Arthropoda	Insecta	Acrotrichis	henrici			Y			Y					T
Arthropoda	Insecta	Acrotrichis	insularis			Y	Y		Y		?			T
Arthropoda	Insecta	Acrotrichis	josephi  			Y				N				T
Arthropoda	Insecta	Acrotrichis	sanctahelenae			Y	Y		Y		?			T
Arthropoda	Maxillopoda	Actheres	percarum			Y				Y				F
Arthropoda	Arachnida	Aculops	fuchsiae   			Y	Y							T
Arthropoda	Arachnida	Aculpos	lycopersici						Y				Y	T
Arthropoda	Insecta	Acyrthosiphon	auriculae			Y, Er	Y		Y	?				T
Arthropoda	Insecta	Acyrthosiphon	caraganae			Y	Y		Y	?				T
Arthropoda	Insecta	Acyrthosiphon	primulae			Y	Y		Y	?				T
Arthropoda	Insecta	Adelencyrtus	aulacaspidis  			Y	Y							T
Arthropoda	Insecta	Adelges	abietis		 Pineapple Gall Woolly Aphid	Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Adelges	cooleyi		 Douglas Fir Woolly Aphid	Y	Y		Y	Y	?		?	T
Arthropoda	Insecta	Adelges	laricis		 Larch Woolly Aphid	Y		Y		Y		N		T
Arthropoda	Insecta	Adelges	nordmannianae		 Silver Fir Woolly Aphid	Y	Y		Y	?				T
Arthropoda	Insecta	Adelges	piceae		 Balsam Woolly Aphid	Y	Y		Y	?				T
Arthropoda	Insecta	Adelges	viridana			Y				?				T
Arthropoda	Insecta	Adelges	viridis			Y				Y				T
Pteridophyta	Pteridopsida	Adiantum 	capillus-veneris			Y	Y	Y		Y	Y	Y		T
Pteridophyta	Pteridopsida	Adiantum 	diaphanum						Y					T
Pteridophyta	Pteridopsida	Adiantum 	raddianum					Y	Y			Y	Y	T
Angiospermae	Magnoliopsida	Adonis	annua		Pheasant's-eye	Y	Y	Y	Y		Y	Y		T
Arthropoda	Insecta	Adota	maritima			Y				N				T
Arthropoda	Insecta	Adoxophyes	orana		 Summer Fruit Tortrix	Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Adrisa	sepulchralis			Y				?				T
Basidiomycota	Pucciniomycetes	Aecidium 	trifolii-repentis			Y		Y	Y	N		Y		T
Arthropoda	Insecta	Aedes	aegypti			N	N	N	Y	N	N	N	Y	T
Arthropoda	Insecta	Aedes	astropalpus			N	N	N	Y	N	N	N	Y	T
Arthropoda	Insecta	Aedes	japonicus			N	Y	Y	N	N	N	Y	N	T
Arthropoda	Insecta	Aedes	koreicus			N	N	Y	N	N	N	Y	N	T
Arthropoda	Insecta	Aedes	vexans  			Y				?				F+T
Mollusca	Gastropoda	Aegopinella	nitens			N	nat	Y, nat	Y, nat	N	nat	Y, nat	Y, nat	T
Angiospermae	Eudicotyledoneae	Aegopodium	podagraria		Bishopweed	Y	Y	Y	Y		Y	Y	Y	T
Chordata	Aves	Aegypius	monachus		 Monk Vulture	N	Y		Y				Y	T
Firmicutes	Bacilli	Aerococcus	viridans			Y				?				M
Angiospermae	Eudicotyledoneae	Aesculus	hippocastanum		Horse-Chestnut	Y	Y	Y	Y			Y	Y	T
Arthropoda	Malacostraca	Agabiformius	lentus				Y				Y			T
Arthropoda	Insecta	Aganaspis	daci  				Y							T
Chordata	Aves	Agapornis	personatus   		Yellow-collared Lovebird		Y		Y				Y	T
Chordata	Aves	Agapornis	pullarius		 Red-faced Lovebird	Y				Y				T
Chordata	Aves	Agapornis	roseicollis		 Peach-faced Lovebird	Y		Y	Y			Y	Y	T
Rhodophyta	not assigned	Agardhiella	subulata			Y	Y		Y	?				M
Basidiomycota	Agaricomycetes	Agaricus 	bernardii			Y		Y	Y	Y		Y	N	T
Arthropoda	Insecta	Agassiziella	angulipennis		Notched China-mark	Y, Indoors			Y	N	N	N	N	F
Arthropoda	Insecta	Agathomyia	wankowiczii		 A Flat-footed Fly [ 	Y				Y				T
Chordata	Aves	Agelaius	icterocephalus		 Yellow-hooded Blackbird	Y								T
Chordata	Aves	Agelaius	phoeniceus		 Red-winged Blackbird	Y								T
Arthropoda	Insecta	Ageniaspis	citricola  				Y							T
Arthropoda	Insecta	Ageniaspis	fuscicollis			Y		Y	Y					T
Ascomycota	incertae sedis	Aglaospora	profusa			Y			Y	Y				T
Arthropoda	Insecta	Aglossa	caprealis			Y		Y	Y					T
Arthropoda	Insecta	Aglossa	pinguinalis		 Large Tabby	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Aglyptinus	agathidioides  			Y				Y				T
Basidiomycota	Agaricomycetes	Agrocybe 	putaminum			Y		Y	Y	Y		Y	Y	T
Angiospermae	Eudicotyledoneae	Ailanthus	altissima		Tree-Of-Heaven	Y	Y	Y	Y	Y	Y	Y	Y	T
Cnidaria	Anthozoa	Aiptasia	pulchella				Y							M
Chordata	Aves	Aix	galericulata		Mandarin (Duck)	Y	Y	Y	Y	Y	N	Y	Y	F+T
Chordata	Aves	Aix	sponsa		Carolina Wood Duck	Y	Y	Y	Y	Y	N	?	Y	F+T
Angiospermae	Eudicotyledoneae	Alcea	rosea  			Y	Y	Y	Y	Y			Y	T
Angiospermae	Eudicotyledoneae	Alchemilla 	mollis			Y	Y	Y	Y	Y			Y	T
Chordata	Aves	Alcippe	brunnea		 Brown-capped Fulvetta	Y								T
Chordata	Aves	Alectoris	chukar		 Chukar	Y			Y	N			Y	T
Chordata	Aves	Alectoris	graeca		 Rock Partridge	Y	Y	Y				Y		T
Chordata	Aves	Alectoris	rufa		 French Partridge	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Aleurodicus	destructor  aleyrodoidae			Y				?				T
Arthropoda	Insecta	Aleuropteridis	filicicola			Y				?				T
Arthropoda	Insecta	Aleuropteryx	juniperi  			Y								T
Arthropoda	Insecta	Aleurothrixus	floccosus			Y	Y			?	?			T
Arthropoda	Insecta	Aleurotrachelus	atratus				Y				?			T
Arthropoda	Insecta	Aleurotrachelus	trachoides			Y				?				T
Arthropoda	Insecta	Aleurotulus	nephrolepidis			Y			Y	Y			Y	T
Dinoflagellata	Dinophyceae	Alexandrium	leei				Y		Y		N		Y	M
Dinoflagellata	Dinophyceae	Alexandrium	minutum				Y	Y			Y	Y		M
Dinoflagellata	Dinophyceae	Alexandrium	tamarense			Y	Y	Y	Y	N	N	Y	Y	M
Dinoflagellata	Dinophyceae	Alexandrium	taylori				Y				N			M
Annelida	Polychaeta	Alitta	succinea		Pile worm	Y	Y	Y	Y	Y	Y	Y	Y	M
Annelida	Polychaeta	Alkmaria	romijni		Tentacled lagoon worm 	Y			Y	Y			Y	M
Angiospermae	Monocotyledoneae	Allium	carinatum						Y					T
Angiospermae	Monocotyledoneae	Allium	cepa						Y					T
Angiospermae	Monocotyledoneae	Allium	paradoxum		Few-flowered Garlic	Y		Y	Y			Y	Y	T
Angiospermae	Monocotyledoneae	Allium	porrum						Y					T
Angiospermae	Monocotyledoneae	Allium	triquetrum		Three-Cornered Garlic	Y	Y		Y					T
Angiospermae	Monocotyledoneae	Allium	zebdanense						Y					T
Angiospermae	Eudicotyledoneae	Alnus	incana			Y			Y	Y			Y	T
Arthropoda	Insecta	Aloephagus	myersi			Y	Y			?				T
Arthropoda	Branchiopoda	Alona	protzi						Y				Y	F
Arthropoda	Branchiopoda	Alona	rustica			Y			Y	Y			Y	F
Chordata	Aves	Alopochen	aegyptiacus		 Egyptian Goose	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Arthropoda	Insecta	Alphitobius	diaperinus		 Lesser Mealworm Beetle	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Alphitobius	laevigatus		 Black Fungus Beetle	Y	Y	Y	Y	Y	?	?	?	T
Ascomycota	Dothideomycetes	Alternaria 	gaisen				Y		Y					T
Ascomycota	Dothideomycetes	Alternaria 	radicina			Y			Y	N				T
Ascomycota	Dothideomycetes	Alternaria 	saponariae			Y			Y	N				T
Arthropoda	Insecta	Altica	carduorum				Y				?			T
Arthropoda	Insecta	Altica	carinthiaca			Y								T
Angiospermae	Eudicotyledoneae	Alyssum 	saxatile			Y	Y	Y	Y	Y			Y	T
Chordata	Amphibia	Alytes	obstetricans			Y	Y	Y	Y	Y	Y	Y	N	F+T
Chordata	Aves	Amandava	amandava		 Red Munia	Y	Y	Y		Y		Y		T
Basidiomycota	Agaricomycetes	Amanita 	inopinata			Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Amara	anthobia			Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Amara	cursitans			Y	Y			Y	?			T
Angiospermae	Eudicotyledoneae	Amaranthus	albus		White Pigweed	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Amaranthus	blitoides		Prostrate Pigweed	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Amaranthus	blitum		Guernsey Pigweed	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Amaranthus	hybridus		Green Amaranth	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Amaranthus	retroflexus		Common Amaranth	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Arachnida	Amaurobius	similis		 Lace Weaver Spider	Y	Y	Y	Y	Y			Y	T
Chordata	Aves	Amazona	aestiva		 Blue-fronted Amazon	Y			Y	Y			Y	T
Arthropoda	Insecta	Amblypsilopus	exul					Y	Y			Y	?	T
Arthropoda	Arachnida	Amblyseius	californicus   			Y								T
Angiospermae	Eudicotyledoneae	Ambrosia	artemisiifolia		Ragweed	Y	Y	Y	Y	Y	Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Ambrosia	psilostachya		Perennial Ragweed	Y	Y	Y	Y				Y	T
Angiospermae	Eudicotyledoneae	Ambrosia	trifida		Giant Ragweed	Y	Y	Y	Y			Y		T
Chordata	Actinopterygii	Ameiurus	melas		Black Bullhead	Y	Y	Y, Ex	Y	Y	Y	Y, Ex	Y	F
Chordata	Actinopterygii	Ameiurus	nebulosus		Brown bullhead	Y, Ex	Y	Y	Y	N	?	Y	Y	F
Angiospermae	Eudicotyledoneae	Amelanchier	lamarckii		Juneberry	Y	Y	Y	Y	Y	Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Amelanchier	spicata			Y	Y	Y	Y		N	Y		T
Arthropoda	Insecta	Ametastegia	pallipes  			Y								T
Arthropoda	Insecta	Ametropus	fragilis						Y					F+T
Arthropoda	Insecta	Amitus	spiniferus  				Y							T
Angiospermae	Eudicotyledoneae	Ammi 	majus			Y		Y	Y	Y			Y	T
Angiospermae	Eudicotyledoneae	Ammi 	visnaga			Y		Y	Y	Y			Y	T
Arthropoda	Pycnogonida	Ammothea	hilgendorfi		sea spider	Y				Y				M
Angiospermae	Eudicotyledoneae	Amorpha	fruticosa				Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Amphiareus	obscuriceps				Y	Y	Y				Y	T
Arthropoda	Insecta	Amphiareus 	constrictus					Y	Y				Y	T
Arthropoda	Diplopoda	Amphitomeus 	attemsi			Y			Y					T
Arthropoda	Insecta	Amphorophora	tuberculata			Y				Y				T
Angiospermae	Eudicotyledoneae	Amsinckia 	micrantha			Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Anagyrus	fusciventris				Y		Y					T
Arthropoda	Insecta	Anagyrus	pseudococci  				Y		Y					T
Angiospermae	Eudicotyledoneae	Anaphalis 	margaritacea			Y	Y	Y	Y	Y			N	T
Arthropoda	Insecta	Anaphes	nitens  				Y							T
Arthropoda	Insecta	Anarsia	lineatella		 Peach Twig Borer	Y	Y		Y	N	N		Y	T
Chordata	Aves	Anas	acuta		Northern Pintail	Y, nat	nat	nat	nat	Y, nat	nat	nat	nat	F+T+M
Chordata	Aves	Anas	americana		American Wigeon	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	?	?	Y, nat	F+T+M
Chordata	Aves	Anas	bahamensis		White-cheeked Pintail	Y	Y	Y	Y	Y	?	Y	Y	F+T+M
Chordata	Aves	Anas	capensis		Cape Teal	Y		Y	Y	Y		Y	Y	F+T+M
Chordata	Aves	Anas	castanea		Chestnut Teal	Y		Y		Y		Y		F+T+M
