dataset	verbatimValue	introductionPathwayCategory	introductionPathwaySubcategory
plants	Wool, birdseed	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain  	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain,etc	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain, etc	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, seeds	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, seeds,etc	Transport - contaminant	Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	Seeds, hort.	Transport - contaminant | Escape from confinement	Seed contaminant | Horticulture
plants	Hort., wool, grain	Transport - contaminant | Escape from confinement	Seed contaminant | Horticulture | Contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, ore, etc	Transport - contaminant	Seed contaminant | Transportation of habitat material (soil, vegetation,…)
plants	Grain, Ore,etc	Transport - contaminant	Seed contaminant | Transportation of habitat material (soil, vegetation,…)
plants	Grain, seeds, ore	Transport - contaminant	Seed contaminant | Transportation of habitat material (soil, vegetation,…)
plants	Grain, ore, wool	Transport - contaminant	Seed contaminant | Transportation of habitat material (soil, vegetation,…) | Contaminant on animals (except parasites, species transported by host/vector)
plants	Ore, grain, wool	Transport - contaminant	Seed contaminant | Transportation of habitat material (soil, vegetation,…) | Contaminant on animals (except parasites, species transported by host/vector)
fishes	BW, AM	Transport - stowaway | Unaided	Ship/boat ballast water | Natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5
plants	Timber	Transport - contaminant	Timber trade
plants	Timber,etc	Transport - contaminant	Timber trade
harmonia	agri- and horticulture	escape from confinement	to be determined by experts
harmonia	agri- and horticulture, forestry	escape from confinement	to be determined by experts
harmonia	aquariums and ponds	escape from confinement	to be determined by experts
harmonia	game/fish stocking	Release in nature	to be determined by experts
harmonia	accidental, aquariums and ponds, game/fish stocking	Release in nature | Escape from confinement	to be determined by experts
harmonia	fur farming, game/fish stocking	Release in nature | Escape from confinement	to be determined by experts
rinse-annex-b		to be determined by experts	to be determined by experts
rinse		to be determined by experts	to be determined by experts
harmonia		to be determined by experts	to be determined by experts
wrims		to be determined by experts	to be determined by experts
plants		to be determined by experts	to be determined by experts
harmonia	accidental	to be determined by experts	to be determined by experts
plants	Fish	to be determined by experts	to be determined by experts
plants	Hybridization	to be determined by experts	to be determined by experts
macroinvertebrates	shipping	Transport - stowaway	to be determined by experts
macroinvertebrates	shipping, other	Transport - stowaway	to be determined by experts
macroinvertebrates	shipping, others	Transport - stowaway	to be determined by experts
macroinvertebrates	shipping, corridors	Transport - stowaway | Corridor	to be determined by experts
macroinvertebrates	shipping, corridors, other	Transport - stowaway | Corridor	to be determined by experts
macroinvertebrates	shipping, aquaculture	Transport - stowaway | Escape from confinement	to be determined by experts
plants	Ore	Transport - contaminant	Transportation of habitat material (soil, vegetation,…)
plants	Ore,etc	Transport - contaminant	Transportation of habitat material (soil, vegetation,…)
plants	Ore, etc	Transport - contaminant	Transportation of habitat material (soil, vegetation,…)
plants	Ore, wool	Transport - contaminant	Transportation of habitat material (soil, vegetation,…) | Contaminant on animals (except parasites, species transported by host/vector)
plants	Ore, wool,etc	Transport - contaminant	Transportation of habitat material (soil, vegetation,…) | Contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, wool, ore	Transport - contaminant	Transportation of habitat material (soil, vegetation,…) | Seed contaminant | Contaminant on animals (except parasites, species transported by host/vector)
plants	?	Unknown	Unknown
plants	Birdseed?	Unknown	Unknown
plants	Bulbs?	Unknown	Unknown
plants	Food refuse?	Unknown	Unknown
plants	Grain?	Unknown	Unknown
plants	Hay?	Unknown	Unknown
plants	Hort.?	Unknown	Unknown
plants	Hort.?,etc	Unknown	Unknown
plants	Military troops?	Unknown	Unknown
plants	Nurseries?	Unknown	Unknown
plants	Ore?	Unknown	Unknown
plants	Ore?, grain?	Unknown	Unknown
plants	Ore?, hort.?	Unknown	Unknown
macroinvertebrates	other	Unknown	Unknown
plants	Seeds?	Unknown	Unknown
plants	Timber?	Unknown	Unknown
plants	Traffic?	Unknown	Unknown
plants	Waterfowl?	Unknown	Unknown
plants	Wool?	Unknown	Unknown
plants	Urban weed	Transport - stowaway	
plants	Urban weed,etc	Transport - stowaway	
